match_id,venue,match_date,match_type,season,pre_temp_avg,pre_humidity_avg,pre_pressure_avg,pre_wind_speed_avg,pre_cloud_cover_avg,pre_rainfall_total,pre_visibility_avg,start_temp,start_humidity,start_pressure,start_wind_speed,start_cloud_cover,start_rainfall,match_temp_avg,match_humidity_avg,match_rainfall_total,match_cloud_avg,match_wind_avg,pitch_condition,match_outcome,play_possible
1,Bridgetown (Kensington Oval),2016-04-01,Test,summer,24.89,83.85,1004.36,1.62,34.4,3.72,12.43,29.69,80.29,999.05,3.02,20.87,0.0,30.81,75.36,0.0,38.29,2.5,Humid/Swing,Completed,1
2,Cape Town (Newlands),2018-01-31,Test,summer,24.2,59.61,1015.94,3.86,43.44,1.45,15.32,23.52,52.71,1013.06,0.0,55.37,0.0,28.91,51.01,8.16,41.93,2.86,Flat/Batting,Completed,1
3,Delhi (Feroz Shah Kotla),2016-07-25,T20,monsoon,30.9,52.77,1017.85,15.7,54.65,21.42,11.78,34.0,53.66,1021.35,22.17,75.54,0.0,37.73,42.12,15.25,65.09,16.9,Flat/Batting,Abandoned,0
4,Chennai (Chepauk),2022-08-03,T20,monsoon,24.32,73.59,1005.42,11.59,49.34,0.91,14.55,25.94,74.14,1006.58,13.24,42.22,0.0,29.56,66.44,1.66,41.95,8.77,Humid/Swing,Completed,1
5,SCG (Sydney),2015-12-23,T20,summer,21.99,64.91,1026.27,9.91,38.74,10.75,14.15,26.69,54.36,1031.82,9.71,21.72,0.0,28.16,54.39,4.91,38.22,6.29,Wet/Green,Completed,1
6,The Oval (London),2015-05-11,Test,summer,18.02,73.29,1019.28,15.71,46.61,0.0,14.22,19.97,81.75,1016.01,14.04,20.81,0.0,23.44,70.05,4.79,42.2,16.33,Humid/Swing,Completed,1
7,Chennai (Chepauk),2017-06-14,Test,summer,35.64,73.53,1012.54,6.61,20.74,0.0,14.88,37.9,69.51,1014.19,2.94,43.0,0.0,41.72,65.63,16.27,31.41,5.5,Humid/Swing,Rain Interrupted,0
8,SCG (Sydney),2021-10-01,Test,monsoon,16.11,66.1,1015.97,5.67,31.72,2.54,13.94,18.95,61.6,1017.62,4.02,32.68,0.0,21.22,56.32,0.0,48.93,4.19,Humid/Swing,Completed,1
9,SCG (Sydney),2017-03-25,T20,monsoon,20.36,67.93,1018.39,8.96,41.96,0.0,15.79,21.72,62.58,1014.2,16.23,28.16,0.0,25.3,59.06,0.0,40.32,8.81,Humid/Swing,Completed,1
10,Bridgetown (Kensington Oval),2022-11-12,T20,monsoon,21.12,81.81,998.74,10.28,52.47,12.08,11.19,21.81,79.13,997.38,7.8,75.85,0.54,26.47,74.63,38.49,59.68,7.91,Wet/Green,Abandoned,0
